Company,Remote/Relocation,Industry,Confirmed Locations,Link,Relocation Possible,Internship Eligibility,Comments
Andela ,Remote,Talent Marketplace,"Ghana,Kenya,Nigeria,South Africa",https://boards.greenhouse.io/andela,,No,
Arc & Codementor,Remote,Engineering Agency,,https://boards.greenhouse.io/arcdev,,No,
Argyle,Remote,Analytics,,https://boards.greenhouse.io/argyle,,No,
Athena,Remote,,,https://athena.breezy.hr/?&location=Worldwide#positions,,No,
Automattic,Remote,Platform,,https://boards.greenhouse.io/automatticcareers/,,,
Bainbridge Inc.,Remote,Consulting,,https://bainbridgeinc.applytojob.com,No,Yes,
Buffer,Remote,Social Media Tooling,"Ghana,Nigeria",https://buffer.com/journey#grnhse_app,,No,
Chilipiper,Remote,CRM Software,,https://boards.greenhouse.io/chilipiper,,No,
Chipper Cash,Remote,Fintech,"Ghana,Kenya,South Africa",https://boards.greenhouse.io/criticalideas,,No,
Clipboard Health,Remote,"Healthcare,Talent Marketplace",,https://boards.greenhouse.io/clipboardhealth,,No,
Current,Remote,AdTech,,https://www.modemobile.com/open-role,,No,
Customer.io,Remote,CRM Software,,https://boards.greenhouse.io/customerio,,No,
Deel,Remote,Global EOR,,https://jobs.ashbyhq.com/Deel,,No,
Distributed,Remote,Software Agency,,https://careers.distributed.com/jobs,,No,
Doist ,Remote,Resource Planning,,https://apply.workable.com/doist/,,No,
DuckDuckGO,Remote,Browser,,https://duckduckgo.recruitee.com/,,No,
EnergyCon Limited,Remote,"Crypto,Fintech",,https://boards.greenhouse.io/energicorelimited,,No,
Expensify,Remote,Fintech,"Ghana,Kenya",https://we.are.expensify.com/#workwithus,,,
FingerprintJS,Remote,Antifraud/Security,,https://fingerprint.com/careers/jobs/,,No,No African employees yet
Fleet,Remote,"Device Management,Open Source",,http://fleet-device-management.breezy.hr/,,No,
Float,Remote,Resource Planning,,https://www.float.com/careers/,,No,
GitLab,Remote,Platform,,https://boards.greenhouse.io/gitlab,,No,
Gumroad (Check Manually),Remote,Internet Publishing,,https://www.notion.so/Jobs-f43f816013b2405aa41ddefb663a4a38,,,
HelpScout,Remote,CRM Software,,https://jobs.lever.co/helpscout/,,No,
Hims & Hers,Remote,Healthcare,Ghana,http://boards.greenhouse.io/himshers,,No,
Hopin,Remote,Virtual Events,,https://boards.greenhouse.io/hopin,,No,
Hotjar,Remote,Web Analytics,Ghana,https://careers.hotjar.com/,,No,
Ilia,Remote,"Fintech,Insurtech,Mobility",,https://boards.greenhouse.io/ilia,,No,
Impala,Remote,TravelTech,,https://boards.greenhouse.io/impala,,No,
Inevent,Remote,Virtual Events,,https://inevent.com/en/work-with-us.php#openings-list,,Yes,
INFUSEmedia,Remote,Digital Marketing Agency,Ghana,https://infusemedia.com/emea/about/join-us/#open-positions-available,No,,Open Job Board Manually 
INFUSEmedia (Let’s Verify),Remote,Digital Marketing Agency,,https://boards.greenhouse.io/infusemedialetsverify,,,Survival Job
Interledger Foundation,Remote,Fintech,,https://interledger-foundation.breezy.hr/,,,
IOVLabs,Remote,"Crypto,Fintech",,https://jobs.lever.co/iovlabs,,No,
Juni,Remote,HR Tech,,https://jobs.ashbyhq.com/juni?locationId=d48afdc6-b2bf-4eef-8a0c-c09c4aff307a,,No,
Kraken,Remote,"Crypto,Fintech",,https://jobs.lever.co/kraken,,,
Lokalise,Remote,Localization,,https://lokalise.com/careers#open_roles,,No,
Mighty,Remote,"Animation,Design Agency",,https://mighty.breezy.hr/,,Yes,
Nansen,Remote,"Analytics,Crypto,Fintech",,https://boards.greenhouse.io/nansen,,No,
