Company,About,Website,Job portal,Linkedin (jobs),Location/Eligibility
1E,Unified eXperience Management (UXM) solution provider,https://www.1e.com/,,https://www.linkedin.com/company/1e/jobs/,remote-North America
1Password,"an integral layer of the Identity and Access Management (IAM) stack, 1Password protects all employee accounts",https://1password.com/,https://jobs.lever.co/1password,https://www.linkedin.com/company/1password/jobs/,"Canada, the UK, the Netherlands and the United States
"
2X Collaborative,launched at the G7 Summit 2018 as a bold commitment to inspire DFIs/IFIs and the broader private sector to invest in the worldâ€™s women,https://www.2xcollaborative.org,https://www.2xcollaborative.org/jobs,,worldwide
123skincare,"launching a platform where people can find, compare, and purchase skincare products suitable to their need",,,https://www.linkedin.com/company/123skincare/jobs/,
3Degrees Group,makes it possible for businesses and their customers to take urgent action on climate change,,https://jobs.jobvite.com/3degrees,https://www.linkedin.com/company/3degrees/jobs/,Europe/UK
10X Genomics,"builds products to interrogate, understand and master biology",https://www.10xgenomics.com,https://www.10xgenomics.com/careers#openings,https://www.linkedin.com/company/10xgenomics/jobs/,Europe
19th news,"an independent, nonprofit newsroom reporting on gender, politics and policy",https://19thnews.org,https://19thnews.org/19th-jobs/,https://www.linkedin.com/company/19th-news/jobs/,anywhere
350.org,building a powerful climate movement,https://350.org/,,https://www.linkedin.com/company/350-org/jobs/,anywhere
60 Decibels,"a global, tech-enabled impact measurement company that brings speed and repeatability to social impact measurement and customer insights",https://60decibels.com/,,https://www.linkedin.com/company/60-decibels/jobs/,anywhere
1010 Solutions,restores the balance and biodiversity,https://1010.so,https://1010.so/#JOBS,https://www.linkedin.com/company/1010so/jobs/,various locations worldwide
AAN Associates,,https://aanassociates.com,https://aanassociates.com/careers/,https://www.linkedin.com/company/linkedin-aan-associates/jobs/?viewAsMember=true,consultancy
AB Agri,"manufactures animal feed, nutrition and technology-based products and offers data services for the agri-food industry",https://www.abagri.com/,https://careers.abagri.com/vacancies/vacancy-search-results.aspx,https://www.linkedin.com/company/ab-agri/jobs/,"Location: France, Germany, Netherlands"
AbbVie,"discovering and delivering innovative medicines that solve serious health issues today and address the medical challenges of tomorrow. We strive to have a remarkable impact on peopleâ€™s lives across several key therapeutic areas: immunology, oncology, neuroscience, eye care, virology, womenâ€™s health and gastroenterology, in addition to products and services across its Allergan Aesthetics portfolio",http://www.abbvie.com/,https://www.linkedin.com/company/abbvie/jobs/,https://www.linkedin.com/company/abbvie/jobs/,various locations worldwide
Abdul Latif Jameel Poverty Action Lab,reducing poverty by ensuring that policy is informed by scientific evidence,https://www.povertyactionlab.org,https://www.povertyactionlab.org/careers,https://www.linkedin.com/company/j-pal/jobs/,various locations worldwide
Abjad Initiative for Education,,https://www.abjadinitiative.org/,,https://www.linkedin.com/company/abjad-initiative/jobs/,Consultancy
able,"making personalized, best-in-class weight and wellness coaching accessible to everyone, everywhere",https://ableapp.com,https://ableapp.com/careers#open-positions,https://www.linkedin.com/company/ablehealth/jobs/,Europe/UK
Abnormal Security,"Abnormally-Precise, Cloud-Native Email Security",https://abnormalsecurity.com/,https://careers.abnormalsecurity.com/open-roles,https://www.linkedin.com/company/abnormalsecurity/jobs/,"EMEA, Asia, NA"
Abt Associates,"research, evaluation and program implementation; driving innovation and measurable impact",https://www.abtassociates.com,https://www.abtassociates.com/careers/join-us-apply-now,https://www.linkedin.com/company/abt-associates/jobs/,U.S or within the WAMENA region
ACAMS,a global community dedicated to ending financial crime,https://www.acams.org/en,https://careers.adtalem.com/us/en/search-results,https://www.linkedin.com/company/acams/jobs/,various locations worldwide
Access Now,defends and extends the digital rights of users at risk around the world,https://www.accessnow.org/,https://accessnow.bamboohr.com/jobs/?source=linkedin,https://www.linkedin.com/company/access-now/jobs/,multiple locations-depending on roles
Acceso,"empowering farmers with long-term opportunities and market access that enable them to live healthy, dignified, and prosperous lives",https://acceso.org/,,https://www.linkedin.com/company/accesoorg/jobs/,Consultancy
Accial Capital,"an impact-focused, tech-enabled investor in small business and consumer loan portfolios in emerging markets",https://www.accialcapital.com/,https://accialcapitalllc.bamboohr.com/jobs/?source=other,https://www.linkedin.com/company/accial-capital/jobs/,remote global
Accion,a global nonprofit dedicated to giving people the financial tools they need to help themselves,https://www.accion.org,https://jobs-accion.icims.com/jobs/search?ss=1&hashed=-435834682,https://www.linkedin.com/company/accion/jobs/,"US,Latin America"
Accordus,structures small business organizations and nonprofits,https://accordus.com,https://accordus.com/join-us/,https://www.linkedin.com/company/accordus/jobs/,
Accountability Counsel,amplifies the voices of communities around the world to protect their human rights and environment,https://accountabilitycounsel.org,https://accountabilitycounsel.org/work-with-us/,https://www.linkedin.com/company/accountability-counsel/jobs/,"open to candidates globally, with a preference for candidates located near existing team members or Accountability Counselâ€™s local partners in Thailand, Kenya, Latin America, Middle East-North Africa, San Francisco, or Washington D.C., to facilitate communication and collaboration"
Acre,"recruitment & talent development for a safe, sustainable future",https://www.acre.com/,https://www.acre.com/jobs,https://www.linkedin.com/company/acre-resources/jobs/,depending on roles
ACT Alliance,,https://actalliance.org,https://actalliance.org/careers/,https://www.linkedin.com/company/act-alliance/jobs/,various locations worldwide
ACTED,,https://www.acted.org,https://www.acted.org/en/get-involved/join-us/,https://www.linkedin.com/company/acted/jobs/,Consultancy
ActionAid International,,https://actionaid.org/,https://actionaidint,https://www.linkedin.com/company/actionaid-international/jobs/,various locations worldwide
Action Contre la Faim France,,https://www.actioncontrelafaim.org/,https://recrutement.actioncontrelafaim.org/,https://www.linkedin.com/company/action-contre-la-faim/jobs/,Consultancy
Action in Africa,,https://www.actioninafrica.com,https://www.actioninafrica.com/careers,https://www.linkedin.com/company/action-in-africa/jobs/,regular availability to communicate with team members located in MST time zone ( UTC/GMT -6 hours) highly desirable
Acumen,GLOBAL COMMUNITY CHANGING THE WAY THE WORLD TACKLES POVERTY,https://acumen.org/,https://acumen.org/work-with-us/,https://www.linkedin.com/company/acumen-fund/jobs/,
Ada Health,a global health company created by doctors to improve human health by transforming knowledge into better outcomes,https://ada.com,https://ada.com/careers/#want-to-joinada,https://www.linkedin.com/company/ada-health/jobs/,time zone difference with Berlin HQ +/- 6 hour
Adare Biome,"a division of Adare Pharma Solutions focusing on harnessing the power of microbiome, providing postiotics solutions in human and animal health",https://www.lbiome-postbiotic.com,,https://www.linkedin.com/company/adarebiome/jobs/,EU
ADL,,https://www.adl.org,https://www.adl.org/about/careers,,Anywhere ADL has an office
Advance Medical by Teladoc Health,"global virtual care leader, offering the only comprehensive virtual care solution spanning telehealth, expert medical, and licensed platform services",https://www.teladochealth.com,https://www.teladochealth.com/careers/,,
Advarra,"advancing clinical research: safer, smarter, faster",https://www.advarra.com,https://www.advarra.com/about/careers/,https://www.linkedin.com/company/advarra/jobs/,"UK, US, occasional openings -anywhere worldwide"
Adventure Project,creating jobs in developing countries,https://www.theadventureproject.org,https://www.theadventureproject.org/careers,,"flexible, with remote options and hours based on the needs of the candidate, you do not need to be a resident of the US to apply, residents who live and work in Africa are strongly encouraged to apply"
Affordable Housing Institute,improving housing ecosystems worldwide,http://www.affordablehousinginstitute.org,,https://www.linkedin.com/company/affordable-housing-institute/jobs/,remote anywhere?
Africa Enterprise Challenge Fund,,https://www.aecfafrica.org,https://www.aecfafrica.org/about-us/opportunities/,,Sub-Saharan Africa
Africa Europe Foundation,,https://www.africaeuropefoundation.org/,https://www.idealist.org/en/nonprofit/40609927632d4d2f81fa1a100695c5e3-africa-europe-foundation-ixelles,https://www.linkedin.com/company/africa-europe-foundation/jobs/,Priority to being located at the Brussels Office of the Africa-Europe Foundation
African Alliance,"a queer-led non-profit organisation providing a space where some of the continentâ€™s best minds in the development and transformation space could come together to collaborate, strategise and collectively advance rights-based work with a shared understanding of our past, our present and our hopes for the future",https://africanalliance.org.za/,https://www.idealist.org/en/nonprofit/4445aad57ebc440484087cedd3471581-african-alliance-johannesburg#opportunities,https://www.linkedin.com/company/african-alliance/jobs/,consultancy
African Development Bank (AfDB) Groupâ€™,"helping reduce poverty, improve living conditions for Africans and mobilize resources for the continentâ€™s economic and social development",https://www.afdb.org,https://www.afdb.org/en/about-us/careers,https://www.linkedin.com/company/african-development-bank/jobs/,you need to be national of one of AfDB member countries
